
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|used|VBN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|used|VBN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|to|TO|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|to|TO|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|to|TO|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|store|VB|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|store|VB|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|store|VB|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|and|CC|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|and|CC|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|and|CC|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|retrieve|VB|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|retrieve|VB|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|retrieve|VB|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|information|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|information|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|information|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|and|CC|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|and|CC|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|and|CC|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|conduct|VB|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|conduct|VB|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|conduct|VB|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|transactions|NNS|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|transactions|NNS|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|transactions|NNS|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|related|VBN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|related|VBN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|related|VBN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|to|TO|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|to|TO|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|to|TO|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|air|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|air|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|air|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|travel|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|travel|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|travel|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|hotels|NNS|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|hotels|NNS|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|hotels|NNS|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|car|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|car|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|car|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|rental|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|rental|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|rental|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|,|,|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|or|CC|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|or|CC|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|or|CC|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|other|JJ|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|other|JJ|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|other|JJ|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|activities|NNS|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|activities|NNS|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|activities|NNS|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|.|.|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|.|.|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|.|.|O|reservation system|is|system

 ----------
