
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|taken|VBN|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|taken|VBN|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|taken|VBN|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|taken|VBN|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|from|IN|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|one|CD|NUMBER|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|and|CC|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|returned|VBD|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|same|JJ|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|location|NN|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|or|CC|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|can|can taken from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|to|TO|O|NNPS Vehicles|can|can taken
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|the|DT|O|different location|is with|additional charge
